,Company Name,Location,Industry,Post Title,Description,Post Date,Post Views
0,Parrott & McInnis,"Texas, United States",Law Firms & Legal Services,parrottsims.com,We are a full-service law firm providing our clients with superior legal services by leveraging our resources and personnel to deliver timely legal advice...  Phone: +1 832-485-6000,"24 Sep, 2022, 00:03 UTC",346
1,R&B Roofing,"Texas, United States",Commercial & Residential Construction,rbroof.com,Phone Number: (888) 260-3947  Owners phone numbers:  Doug Reader (214) 221-5000 ext 221  Kevin Ballard (214) 221-5000 ext 222  But external not working...  CEOs completely ignored our calls and said they didn't care about anything.  Fo...,"23 Sep, 2022, 15:21 UTC",243
2,Centre Hospitalier Sud Francilien,France,"Internet Service Providers, Website Hosting & Internet-related Services",ch-sf.fr,"We present to you the French clinic. CH-SF.FR REVENUE $650 million. This company does not want to fulfill its part of the transaction to buy out the decryptor and personal data of its customers, patients and partners. This company does not care a...","23 Sep, 2022, 12:19 UTC",2134
3,Conger Construction Group,"Ohio, United States",Commercial & Residential Construction,congerbuilt.com,"When Larry Conger founded Conger Construction Group in 1992, he had a vision of building a company that would act with integrity in every project, no matter what the challenge. Since then, we’ve established ourselves as one of the most respected cons...","22 Sep, 2022, 23:20 UTC",263
4,Thor Guard,"Florida, United States",Manufacturing,thorguard.com,"THOR GUARD began manufacturing Lightning Prediction Systems in 1973. Over the last 50 years, we have studied thousands of hours of Lightning Strike Data over the millions of hours of our systems operations - all for the purpose of continually improvi...","22 Sep, 2022, 23:05 UTC",274
5,Sunshine Coast Regional District,Canada,Local,scrd.ca,"The Sunshine Coast Regional District (SCRD) is the regional government serving the residents of the Sunshine Coast. Formed in 1967, the SCRD is one of 27 regional districts that were designed to establish a partnership between electoral areas and mem...","22 Sep, 2022, 23:04 UTC",365
6,Franck BEUN,France,Commercial & Residential Construction,franckbeun.fr,"Franck Beun - Edifice & Habitat Franck Beun - Edifice & Habitat est une entreprise de Maçonnerie, Plâtrerie, Menuiserie, Taille de Pierre, Carrelage et Assainissement. Franck Beun Edifice & Habitat est de la catégorie » Bâtiment et construction » q...","22 Sep, 2022, 22:09 UTC",698
7,Interactive Digital Technologies,"Taiwan, Province of China",Telecommunications,idtech.com.tw,Interactive Digital Technologies Inc (IDT) was established in 2003 with an initial focus on the Media industry.,"22 Sep, 2022, 18:07 UTC",250
8,WEB Nordeste,Brazil,Industrial Machinery & Equipment,webnordeste.com.br,"Web Nordeste manufactures equipment and provides services for the Oil & Gas industry, according to API standards. Files contains Administrative and Finance files","22 Sep, 2022, 10:45 UTC",278
9,Phoenix Silicon International,"Taiwan, Province of China",Electronics,psi.com.tw,"Phoenix Silicon International was established in 1997, and was started from Wafer Reclaim Department. Then, it developed to Wafer Thinning Department and Wafer Integration Department. PSI takes technological innovation and high quality as the goals,...","21 Sep, 2022, 22:57 UTC",665
10,Your Private Italy,"Maryland, United States",Hospitality,yourprivateitaly.com,"Your Private Italy it THE luxary travel, destionation management specialist to italy. We arrange luxury travel that is custom designed especially for you, the educated traveller, looking to experience Italy in a truly distinctive and authentic manner...","21 Sep, 2022, 22:52 UTC",352
